,category,top_keys
0,台股,"[('營收', 94), ('市場', 83), ('台股', 69), ('產品', 69), ('中國', 66), ('公司', 62), ('需求', 57), ('疫情', 54), ('客戶', 53), ('股價', 52), ('產能', 49), ('全球', 44), ('獲利', 43), ('策略', 41), ('指數', 39), ('通膨', 38), ('百分點', 36), ('台灣', 36), ('毛利率', 35), ('訂單', 35)]"
1,國際股,"[('公司', 85), ('美國', 84), ('推特', 67), ('市場', 64), ('通膨', 52), ('馬斯克', 46), ('價格', 41), ('營收', 36), ('經濟', 35), ('全球', 31), ('指數', 31), ('交易', 28), ('中國', 25), ('美元', 25), ('數據', 24), ('汽車', 23), ('政策', 23), ('石油', 23), ('美股', 22), ('歐盟', 21)]"
2,陸港股,"[('中國', 92), ('汽車', 64), ('市場', 46), ('疫情', 40), ('科技', 36), ('政策', 34), ('指數', 32), ('經濟', 27), ('人民幣', 25), ('港股', 25), ('公司', 25), ('月份', 22), ('行業', 22), ('上海', 22), ('資金', 21), ('數據', 21), ('企業', 21), ('信報', 21), ('騰訊', 20), ('收入', 17)]"
3,區塊鏈,"[('市場', 30), ('推特', 27), ('價格', 21), ('資產', 21), ('原文', 20), ('問題', 20), ('社群', 19), ('難度', 19), ('炸彈', 18), ('貨幣', 17), ('文章', 16), ('中國', 16), ('生態', 15), ('客戶端', 15), ('團隊', 15), ('時間', 14), ('比特幣', 14), ('事件', 13), ('交易', 13), ('創辦人', 13)]"
4,外匯,"[('美元', 188), ('外匯', 86), ('市場', 81), ('交易', 69), ('美國', 54), ('指數', 52), ('貨幣', 51), ('經濟', 51), ('央行', 50), ('匯率', 45), ('日圓', 40), ('保證金', 39), ('歐元', 38), ('風險', 35), ('遠東', 33), ('數據', 32), ('政策', 30), ('通膨', 28), ('預期', 27), ('低點', 27)]"
5,期貨,"[('小麥', 91), ('美國', 81), ('美元', 64), ('市場', 62), ('價格', 59), ('全球', 49), ('期貨', 47), ('原油', 42), ('印度', 42), ('庫存', 41), ('石油', 38), ('汽油', 38), ('俄羅斯', 36), ('中國', 36), ('需求', 36), ('黃金', 34), ('指數', 32), ('經濟', 30), ('烏克蘭', 29), ('糧食', 29)]"
6,全部,"[('市場', 366), ('美元', 319), ('美國', 271), ('中國', 258), ('公司', 196), ('指數', 187), ('經濟', 176), ('價格', 171), ('全球', 151), ('通膨', 148), ('營收', 144), ('交易', 133), ('疫情', 133), ('需求', 131), ('政策', 127), ('數據', 119), ('產品', 109), ('貨幣', 105), ('推特', 98), ('汽車', 96)]"
